91303,מ.מ. חורה ,עסיבי חליל ,,, כולל קליטה ,חישוב תקציב יחסי :,מספר חודשים ,תמצית נתוני התקציב הרגיל מפורט -- דוח כספי לתקופה 2102 / 21 - 10 ,4/22/2013,11:24,,,
חשבון ,שם חשבון ,תקציב שנתי מאושר )מעודכן( ,תקציב יחסי לתקופה ,ביצוע מצטבר לתקופה )כולל קליטה,הסטיה ,%הסטיה מהתקציב ,,,,,,,
1.111100.100,, ארנונה כללית שוטפת ,0,0,0,0,0,,,,,,
1.111100.110,ארנונה כללית שוטפת ,3000,3000,2684,316,10,,,,,,,
1.111200.100,,ארנונה כללית פגורים ,0,0,0,0,0,,,,,,
1.111200.110,ארנונה כללית פגורים ,600,600,569,31,5,,,,,,,
. ," סה""כ ארנונה כללית ",3600,3600,3252,348,9,,,,,,,
1.413100.210,אגרות מים שוטף ,0,0,0,0,0,,,,,,,
1.413101.210,אגרת מים פיגורים ,798,798,602,196,24,,,,,,,
. ," סה""כ הכנסות ממכירת מים ",798,798,602,196,24,,,,,,,
1.312200.410,"השת' הורים שכ""ל גנים ",0,0,0,0,0,,,,,,,
1.312200.420,"השתת' הורים הזנה יוח""א ",240,240,182,58,24,,,,,,,
1.312200.740,השתת' ממפעל הפיס ,0,0,26,-26,0,,,,,,,
1.312300.410,השתת' הורים בטוח ט.חובה ,0,0,0,0,0,,,,,,,
1.312800.420,הכנסות מקייטנה ,0,0,0,0,0,,,,,,,
1.312800.790,"השתת' בקייטנה-מש""מ ",0,0,0,0,0,,,,,,,
1.313200.420,"השתת' הורים הזנה יוח""א ",100,100,72,28,28,,,,,,,
1.313200.740,השתת' מפעל הפיס-יסודי א ,0,0,0,0,0,,,,,,,
1.313201.420,השתת' הורים הזנת יוחא-אלע ,80,80,49,31,38,,,,,,,
1.313202.420,"השתת' הורים הזנה יוח""א ",0,0,0,0,0,,,,,,,
1.313203.420,"השתת' הורים-הזנת יוח""א ",0,0,0,0,0,,,,,,,
1.313203.740,השתת' מ.פיס ציוד ורהוט ,0,0,0,0,0,,,,,,,
1.313204.420,"השתת' הורים הזנת יוח""א-אנ ",0,0,9,-9,0,,,,,,,
1.313204.740,השתת' מפעל הפיס ,0,0,0,0,0,,,,,,,
1.313205.420,השתת' הורים הזנה ,20,20,8,12,60,,,,,,,
1.313205.740,השתת' מ.פיס ציוד ורהוט-אלזהר,0,0,0,0,0,,,,,,,
1.313300.730,השתת' מוסד לביטוח לאומי ,900,900,692,208,23,,,,,,,
1.313300.740,השתת' מפעל הפיס-ח.מיוחד ,0,0,0,0,0,,,,,,,
1.313302.730,השתת' המוסד לביטוח לאומי-אוט,0,0,0,0,0,,,,,,,
1.313800.420,הכנסות מקייטנות ,0,0,0,0,0,,,,,,,
1.314000.740,השתת' מפעל הפיס-אלסלאם ,0,0,0,0,0,,,,,,,
1.315204.740,השתת' מפעל הפיס ,0,0,60,-60,0,,,,,,,
1.315209.740,השתת' מפעל הפיס ,0,0,0,0,0,,,,,,,
1.315210.740,השתת' מ.הפיס ציוד ורהוט ,0,0,0,0,0,,,,,,,
1.317600.420,השת' הורים רווחה חינוכית ,0,0,0,0,0,,,,,,,
1.317901.740,השתת' מפעל הפיס ,0,0,0,0,0,,,,,,,
. ," סה""כ עצמיות חינוך ",1340,1340,1097,243,18,,,,,,,
1.342201.420,השתת' הורים בקייטנת אמהות ,0,0,0,0,0,,,,,,,
. ," סה""כ עצמיות חינוך ",0,0,0,0,0,,,,,,,
1.111000.000,, ארנונות ,0,0,0,0,0,,,,,,
1.120000.000,,אגרות ,0,0,0,0,0,,,,,,
1.121000.290,תעודות ואישורים ,200,200,205,-5,2,,,,,,,
1.190000.000,,מענקים כלליים ,0,0,0,0,0,,,,,,
1.196000.916,מענק מיוחד לפיתוח אירגוני ,0,0,0,0,0,,,,,,,
1.210000.000,,תברואה ,0,0,0,0,0,,,,,,
1.212300.220,אגרת אשפה ,0,0,0,0,0,,,,,,,
1.213300.290,אגרת רישוי עסקים ,0,0,0,0,0,,,,,,,
1.214300.220,מלחמה בכלבת-אגרת חיסון ,0,0,0,0,0,,,,,,,
1.230000.000,,תכנון ובנין עיר ,0,0,0,0,0,,,,,,
1.233100.220,"אגרות,רשיונות בניה ",0,0,0,0,0,,,,,,,
1.233400.790,אגרות בנייה-שימעונים ,586,586,182,404,68,,,,,,,
1.240000.000,נכסים צבוריים ,0,0,0,0,0,,,,,,,
1.260000.000,,שרותים ערוניים שונים ,0,0,0,0,0,,,,,,
1.269000.290,הכנסות-מכירת מכרזים ,0,0,0,0,0,,,,,,,
1.269000.660,הכנסות מימון ,10,10,42,-32,320,,,,,,,
1.269000.661,ריבית הלואות עובדים ,0,0,0,0,0,,,,,,,
1.269000.690,הכנסות שונות ,100,100,74,26,26,,,,,,,
1.269000.691,שונות קרן מקפת ,30,30,0,30,100,,,,,,,
1.269001.290,אגרות בית המשפט)גביה( ,1,1,1,0,0,,,,,,,
1.269001.661,רבית הלוואות לעובדים ,4,4,3,0,0,,,,,,,
1.312000.000,חינוך קדם יסודי ,0,0,0,0,0,,,,,,,
1.312200.000,גני ילדים גיל חובה ,0,0,0,0,0,,,,,,,
1.312300.000,גני ילדים טרום חובה ,0,0,0,0,0,,,,,,,
1.313000.000,חינוך יסודי ,0,0,0,0,0,,,,,,,
1.313200.000,"בי""ס יסודי חורה א' ",0,0,0,0,0,,,,,,,
1.313201.000,"בי""ס יסודי אלעטאונה ",0,0,0,0,0,,,,,,,
1.313202.000,"בי""ס יסודי חורה ב' ",0,0,0,0,0,,,,,,,
1.313203.000,"בי""ס יסודי אלביאדר ",0,0,0,0,0,,,,,,,
1.313204.000,"בי""ס אלאנדלס ",0,0,0,0,0,,,,,,,
1.313302.000,"ביה""ס אלופאא לאוטסטים ",0,0,0,0,0,,,,,,,
1.314000.000,חטיבת ביניים מקיף רבין ,0,0,0,0,0,,,,,,,
1.315000.000,חינוך על יסודי ,0,0,0,0,0,,,,,,,
1.315200.000,"ביה""ס תיכון - עמל ",0,0,0,0,0,,,,,,,
1.315201.000,"בי""ס תיכון - עתיד אלנור ",0,0,0,0,0,,,,,,,
1.315202.000,"ביה""ס תיכון סכנין ",0,0,0,0,0,,,,,,,
1.315203.000,"ביה""ס תיכון עהד ",0,0,0,0,0,,,,,,,
1.315204.000,"בי""ס תיכון אלסלאם ",0,0,0,0,0,,,,,,,
1.316000.000,מינוך גבוה ,0,0,0,0,0,,,,,,,
1.317000.000,שרותים נוספים לחינוך ,0,0,0,0,0,,,,,,,
1.317300.000,שירות פסיכולוגי חינוכי ,0,0,0,0,0,,,,,,,
1.317600.000,רווחה חינוכית ,0,0,0,0,0,,,,,,,
1.322000.000,פעולות תרבות ,0,0,0,0,0,,,,,,,
1.323000.420,השתת' הורים/תושבים ,0,0,0,0,0,,,,,,,
1.323000.740,השתת' מ.פיס ספרייה ,0,0,0,0,0,,,,,,,
1.324000.740,"השתת' מ.הפיס - מתנ""ס ",50,50,50,0,0,,,,,,,
1.328000.000,נוער ,0,0,0,0,0,,,,,,,
1.328300.420,השתתפות תושבים ,0,0,0,0,0,,,,,,,
1.328400.420,השתת' תושבים בש.משלימים ,0,0,0,0,0,,,,,,,
1.328400.790,השת' בקיטנה-מ.השלטון מקומ ,0,0,0,0,0,,,,,,,
1.329300.790,השתת' מ.להסדר ההימורים/קרן י,56,56,0,56,100,,,,,,,
1.329900.490,הכנסות ספורט ,2,2,2,0,0,,,,,,,
1.341000.000,מינהל הרווחה ,0,0,0,0,0,,,,,,,
1.342000.000,רווחת הפרט והמשפחה ,0,0,0,0,0,,,,,,,
1.343000.000,שרותים לילד ולנוער ,0,0,0,0,0,,,,,,,
1.344000.000,שרותים לזקן ,0,0,0,0,0,,,,,,,
1.345000.000,שרותים למפגר ,0,0,0,0,0,,,,,,,
1.346000.000,שרותי שיקום ,0,0,0,0,0,,,,,,,
1.347000.000,שירותי תיקון ,0,0,0,0,0,,,,,,,
1.348000.000,עבודות קהילתיות ,0,0,0,0,0,,,,,,,
1.413000.000,משק המים ,0,0,0,0,0,,,,,,,
1.413100.310,היטל צריכה ,0,0,0,0,0,,,,,,,
1.413300.220,אגרת מוני מים ,2,2,3,-1,50,,,,,,,
1.470000.790,השתת' מוסדות אחרים ,885,885,1447,-562,63,,,,,,,
1.472000.310,היטל ביוב ,3,3,9,-7,233,,,,,,,
. ," סה""כ עצמיות אחר ",1928,1928,2019,-91,4,,,,,,,
. ," סה""כ עצמיות ",3268,3268,3115,153,4,,,,,,,
1.312200.920,עוזרות לגננות ,1500,1500,1678,-178,11,,,,,,,
1.312200.923,"תשלומי הורים חומרים-ג""י ",12,12,11,1,8,,,,,,,
1.312200.924,"ה.נלוות ח.מיוחד-גנ""י ",15,15,20,-5,33,,,,,,,
1.312200.925,העשרה ח.מיוחד-גני ,0,0,0,0,0,,,,,,,
1.312200.926,"שכ""ד גני חובה ",0,0,0,0,0,,,,,,,
1.312200.927,"אגרת תלמידי חוץ-גנ""י ",0,0,0,0,0,,,,,,,
1.312200.928,"גנ""י יוח""א ",270,270,277,-7,2,,,,,,,
1.312200.929,השתת' מ.חינוך שונות ,85,85,7,78,91,,,,,,,
1.312300.920,"שכ""ל גני ילדים קדם חובה ",5300,5300,5756,-456,8,,,,,,,
1.312300.923,"תשלומי הורים חומרים-ט""ח ",25,25,21,4,16,,,,,,,
1.312300.924,מ.חינוך-השתת' בשכירות ,0,0,0,0,0,,,,,,,
1.312300.926,"שכ""ד גנ""י ט.חובה ",120,120,0,120,100,,,,,,,
1.312300.927,אגרת תלמידי חוץ-יסודי א' ,0,0,0,0,0,,,,,,,
1.312301.927,אגרת תלמידי חוץ-אלעטאונה ,0,0,0,0,0,,,,,,,
1.312302.920,השתת' מ.חינוך - מעגן ,105,105,68,37,35,,,,,,,
1.312800.920,השתת' מ.חינןך-חוויה קיצית ,0,0,0,0,0,,,,,,,
1.313200.920,שרתים-יסודי חורה א' ,262,262,260,2,0,,,,,,,
1.313200.921,מזכירים-יסודי חורה א' ,84,84,83,1,1,,,,,,,
1.313200.922,אגרת שיכפול יסודי חורה א' ,10,10,11,-1,10,,,,,,,
1.313200.923,תשלום הורים חומרים חורה א ,10,10,17,-7,70,,,,,,,
1.313200.924,סייעות כיתתיות חורה א ,0,0,0,0,0,,,,,,,
1.313200.925,"מנב""ס מזכירים חורה א ",0,0,-1,1,0,,,,,,,
1.313200.926,פדיון חופשה ש+מ-יסודי א' ,4,4,4,0,0,,,,,,,
1.313200.927,אגרת תלמידי חוץ-יסודי א' ,0,0,0,0,0,,,,,,,
1.313200.928,"יוח""א ביה""ס א' ",0,0,0,0,0,,,,,,,
1.313200.929,הכנסות שונות חורה א' ,55,55,69,-14,25,,,,,,,
1.313201.920,שרתים- יסודי אלעטאונה ,385,385,399,-14,3,,,,,,,
1.313201.921,מזכירים-יסודי אלעטאונה ,195,195,180,15,7,,,,,,,
1.313201.922,אגרת שיכפול יסודי אלעטאונ ,8,8,20,-12,150,,,,,,,
1.313201.923,תשלום הורים חומרים-אלעטונ ,12,12,32,-20,166,,,,,,,
1.313201.924,חוק שילוב סייעות-בודדות ,645,645,614,31,4,,,,,,,
1.313201.925,"מנב""ס ביה""ס אלעטאונה ",0,0,-1,1,0,,,,,,,
1.313201.927,אגרת תלמידי חוץ עטאונה ,0,0,0,0,0,,,,,,,
