110,611,1,משכורות כוללות ,"3,800,000","3,428,800","3,850,000"
111,611,1,השתת' בגמלאות ,"15,000","20,700","22,900"
130,611,1,שעות נוספות רשומות ,"47,600","48,400","53,100"
210,611,1,משכורות זמניים ,"722,000","639,500","720,000"
230,611,1,שעות נוספות ,0,0,0
320,611,1,פיצויים ,0,0,0
410,611,1,שכד ,"164,000","182,800","164,000"
430,611,1,חשמל ,"2,100","2,300","3,100"
450,611,1,אחזקת ציוד ,"7,900",0,"7,000"
510,611,1,כיבוד לישיבות ,"120,000","118,400","120,000"
514,611,1,"מתנות רה""ע וסגניו ","18,000","15,700","18,000"
520,611,1,עיתונים רהע וסגניו ,"8,000","9,600","10,000"
530,611,1,אחזקת רכב ,700,200,700
531,611,1,דלק ,300,200,300
536,611,1,ליסנג רכב ,"140,000","165,300","140,000"
540,611,1,רהע-טלפון ומברקים ,"5,700","1,500","1,000"
541,611,1,הנהלה מכשירי קשר פל ,"43,000","23,000","43,000"
542,611,1,הנהלה -דאר ,0,0,0
570,611,1,מחשוב ,"25,500","25,700","25,500"
580,611,1,הוצאות אחרות ,"550,000","499,300","550,000"
750,611,1,פעולות רווחה וסיוע לקהילה,"500,000","412,600","500,000"
755,611,1,קנית שרותים ,"220,000","137,900","220,000"
780,611,1,קמחא דה פסחא ,"750,000","655,100","750,000"
781,611,1,פעולות מיוחדות ,"75,000","37,800","75,000"
782,611,1,בית פנחס ,0,0,"50,000"
783,611,1,מחשב לכל ילד ,0,0,"130,000"
784,611,1,חינוך בלתי פורמלי ומדרשה ,0,0,"175,000"
785,611,1,כרטיס תושב ,0,0,"150,000"
930,611,1,"לשכת רה""ע-ארועים ","250,000","171,500","250,000"
300110,611,1,שכר ,"340,100","421,400","457,700"
300130,611,1,שעות נוספות ,"87,600","80,800","86,400"
300780,611,1,שכונות ,"400,000","401,000","450,000"
500210,611,1,שכר זמניים ,0,"8,700","10,600"
500780,611,1,מעמד האשה ,"220,000","189,700","270,000"
,"611 סה""כ",,,"8,512,500","7,697,900","9,303,300"
110,612,1,משכורות כוללות ,"910,000","835,200","911,100"
130,612,1,שעות נוספות ,"11,300","10,500","11,400"
450,612,1,אחזקת ציוד ,"2,600",0,"2,600"
536,612,1,רכב ליסינג ,"73,000","55,100","60,000"
540,612,1,מבקר-טלפון ,0,0,0
541,612,1,מכשרי קשר ,"2,300",0,0
580,612,1,הוצאות אחרות ,"20,000","12,100","35,000"
750,612,1,עבודה קבלנית ,"110,000","101,600","110,000"
,"612 סה""כ",,,"1,129,200","1,014,500","1,130,100"
110,613,1,משכורות כוללות ,"247,700","440,500","499,800"
570,613,1,מזכיר העיר-מיחשוב ,"1,300",500,"1,300"
100110,613,1,שכר מנכל העיריה ,"1,333,000","1,219,900","1,374,100"
100130,613,1,ש.נ. ,"57,000","46,600","57,400"
100210,613,1,משכורות זמניים ,600,0,0
100450,613,1,אחזקת ציוד ,"1,900",0,0
100531,613,1,דלק ,"1,100",0,0
100533,613,1,בטוח רכב ,0,"2,600","3,500"
100536,613,1,"רכב - מנכ""ל ","152,600","43,100","60,000"
100540,613,1,"טלפון מנכ""ל ",600,0,0
100541,613,1, הוצ פלאפון,"8,100",0,0
100570,613,1,אוטומציה ,"2,400","1,300","1,800"
100580,613,1,הוצ' אחרות ,"8,200","5,700","8,000"
100780,613,1,הוצ אחרות ,"350,000","300,200","281,000"
,"613 סה""כ",,,"2,164,500","2,060,400","2,286,900"
110,614,1,משכורות כוללות ,"166,000","184,000","188,200"
130,614,1,שעות נוספות ,0,0,0
210,614,1,משכורות זמניים ,"480,400","456,500","494,000"
450,614,1,אחזקת ציוד ,500,0,0
520,614,1,דובר-עיתון ,"8,100","3,700","4,900"
540,614,1,דובר -טלפון ומברקים ,0,0,0
541,614,1,פלאפון לדובר ,"2,300",0,"2,300"
550,614,1,פרסומים ,"700,000","583,200","700,000"
570,614,1,מחשוב ,"190,000","147,200","193,800"
580,614,1,הוצאות אחרות ,"8,000","1,500","8,000"
780,614,1,הוצאות אחרות ,"10,100","8,600","10,000"
100110,614,1,נציב פניות הציבור ,0,0,0
,"614 סה""כ",,,"1,565,400","1,384,700","1,601,200"
110,615,1,משאבי אנוש-שכר ,"2,060,000","2,029,100","2,315,700"
130,615,1,שעות נוספות רשומות ,"245,600","202,500","245,000"
210,615,1,מש ,"94,800","96,400","94,000"
450,615,1,אחזקת ציוד ,"9,000",0,0
520,615,1,ספרות מקצועית ,"4,700","4,400","4,000"
523,615,1,דמי חבר ואירגונים ,"106,000","104,300","106,000"
536,615,1,דלק ליסינג ,0,0,0
540,615,1,כח אדם-טלפון ,"25,000",0,0
541,615,1,כא - מכשיר קשר ,"30,000","44,500","29,300"
542,615,1,"כ""א דאר ","1,900",0,0
570,615,1,אוטומציה יח'שכר ,"880,000","337,800","780,000"
580,615,1,"כ""א-הוצאות משרדיו ","55,100","72,400","75,900"
750,615,1,שעוני נוכחות ,"100,000","102,200","110,000"
751,615,1,"כ""א-יעוץ ","286,000","271,700","286,000"
780,615,1,הוצאות אחרות ,"60,000","51,800","160,000"
100780,615,1,השתלמויות רימון ,"700,000","841,000","840,000"
,"615 סה""כ",,,"4,658,100","4,158,100","5,045,900"
521,616,1,העשרת עובדים ,"200,000","222,900","200,000"
780,616,1,השתלמויות עובדים ,"23,000","4,700","23,000"
100110,616,1,משכורות כוללות ,"769,000","667,300","770,000"
100130,616,1,משכורות כוללות ,"32,700","30,400","33,400"
