הנהלה,611,"1,615,200","1,713,300","2,101,400",,
מבקר,612,"185,300","148,300","198,500",,
"מזכיר מנכ""ל",613,"257,600","225,300","364,500",,
דובר,614,"611,100","615,600","828,000",,
משאבי אנוש,615,"1,804,200","2,087,800","2,962,500",,
מפעם והשתלמות,616,"1,635,900","1,699,100","1,693,800",,
משפטית,617,"3,148,900","3,532,400","3,684,000",,
שונות,619,900,0,0,,
גזברות,621,"1,710,400","2,262,100","2,474,200",,
מיסים,623,"7,322,900","5,963,600","7,118,000",,
מימון,631,"3,523,400","3,266,300","3,293,100",,
מימון,632,"970,100","1,410,700","708,200",,
מלוות,649,"38,148,600","40,148,800","39,397,400",,
תברואה,711,"53,600","66,300","75,000",,
תברואה,712,"33,890,600","34,613,500","35,223,900",,
שונות,713,"8,500","11,800","11,300",,
וטרינר,714,"554,000","567,200","544,400",,
הדברה,715,"7,700","41,500","45,000",,
חרום,721,"243,100","291,400","273,400",,
משאז,722,"36,400","52,100","57,200",,
הגא,723,"608,100","747,500","783,400",,
כיבוי אש,724,"1,418,800","1,500,000","1,600,000",,
שונות,725,"10,200","35,000","1,200",,
הנדסה,731,"866,000","1,492,200","1,324,500",,
הנדסה,732,"120,300","315,900","160,000",,
תשתית,741,"9,300","18,100","10,900",,
תשתית,742,"263,500","170,900","277,600",,
תאורה,743,"2,729,400","3,073,400","2,903,200",,
רמזורים,744,"1,650,200","2,215,300","2,022,700",,
נקוז וביובית,745,"3,263,600","2,406,900","3,359,000",,
גינון,746,"6,772,900","6,610,200","5,646,300",,
תחזוקה,749,"662,300","703,300","213,200",,
יום העצמאות,751,"983,000","950,000","1,250,000",,
ערים תאומות,754,"59,000","60,000","100,000",,
מוקד,761,"966,000","996,800","1,075,600",,
שיטור קהילתי,762,"3,811,300","4,000,000","4,000,000",,
תרבות הדיור,764,"7,300","8,100","13,400",,
מרכז השלטון ומרכז יד לבנים,765,"358,500","328,600","358,600",,
וועד עובדים,766,"1,336,700","1,331,800","1,429,900",,
ביטוח אזרחים,767,"3,551,500","2,882,500","3,439,600",,
שונות,781,"15,300","23,600","20,300",,
בית משפט,782,"7,100","8,300","9,300",,
ועדה חקלאית,797,"58,500","50,000","60,000",,
הנהלה חינוך,811,"3,303,100","3,359,800","3,181,600",,
גנים,812,"16,459,100","20,188,700","20,437,400",,
יסודי,813,"10,433,900","12,521,000","14,735,408",,
"חט""ב",814,"183,900","174,500","147,000",,
על יסודי,815,"5,731,200","5,484,700","5,945,900",,
אשכולות פייס,816,"51,500","58,900","273,700",,
שמירה והסעות,817,"16,952,700","19,365,900","20,952,200",,
השכלת מבוגרים,818,"589,300","419,100","420,100",,
תרבות,822,"241,100","284,100","960,400",,
ספריות,823,"1,839,400","1,927,400","1,906,400",,
