1611000110,משכורת ושכר משולבי,"9,360,000","9,369,000","-9,000","10,042,200",52.20
1611000120,ביגוד והבראה,"457,000","457,000",0,"486,200",0.00
1611000130,שעות נוספות,"238,000","238,000",0,"282,000",0.00
1611000131,ש. נוספות קשיח,"2,000","2,000",0,"1,400",0.00
1611000132,שעות כוננות,"12,000",,"12,000",200,0.00
1611000140,הוצאות רכב,"1,431,000","1,431,000",0,"1,437,500",0.00
1611000141,ליסינג - הנהלה,"289,000","271,000","18,000","264,600",0.00
1611000300,משכר זמניים,,"12,000","-12,000","60,400",0.00
1611000470,מכונות משרד והחזקתן,"38,000","38,000",0,"37,500",0.00
1611000510,הוצאות כיבוד,"33,000","33,000",0,"14,900",0.00
1611000520,ספרים ועיתונים,"2,000","2,000",0,"1,100",0.00
1611000550,פרסומים,"3,000","3,000",0,,0.00
1611000560,מכשירי כתיבה והדפסות,"100,000","100,000",0,"87,000",0.00
1611000580,הוצאות שונות,"75,000","75,000",0,"75,200",0.00
1611000750,מרכז השפה העברית,"100,000","600,000","-500,000","559,300",0.00
1611000751,"פרוייקטים ראה""ע","350,000","347,000","3,000","148,700",0.00
1611000752,מרכז נשים עירוני,"83,000","83,000",0,"82,300",0.00
1611000753,מעמד האשה,"248,000","248,000",0,"229,400",0.00
1611000754,מיזם עסקים קטנים,"30,000",,"30,000",,0.00
1611300820,תמיכות כלליות,"850,000","850,000",0,"892,000",0.00
1611300990,תמיכות בית מדרש,"80,000","100,000","-20,000","104,900",0.00
1612000110,משכורת ושכר משולבים,"1,376,000","1,400,000","-24,000","1,332,600",6.00
1612000120,הבראה וביגוד,"49,000","49,000",0,"40,500",0.00
1612000130,שעות נוספות,"13,000","13,000",0,"14,900",0.00
1612000140,הוצאות רכב,"112,000","112,000",0,"121,200",0.00
1612000141,ליסינג - מבקר העירייה,"63,000","59,000","4,000","50,100",0.00
1612000431,צריכת חשמל,"5,000","10,000","-5,000","6,200",0.00
