1192000910,"מ.הפנים-אבטחת רה""ע ",11100,"-300,000",-100,  -   
1196000910,השתת.משרד הפנים בשכר צוער,11100,  -   ,  -   ,"-112,125"
1611100105,עובדים זמניים ,11100,"79,824","150,000",  -   
1611100110,שכר קובע ,11100,"3,195,834","3,879,251","4,073,461"
1611100120,תוספות שאינן בשכר קובע ,11100,"134,733","163,887","125,375"
1611100130,שעות נוספות ,11100,"20,830","20,521","13,722"
1611100140,החזר הוצאות ,11100,"368,690","432,694","448,232"
1611100181,הפרשות סוציאליות ,11100,"899,567","1,108,821","1,134,230"
1611100182,מיסים ועלויות ,11100,"301,703","366,169","373,715"
1611100510,אירוח רשמי ,11100,"9,513","10,000","9,900"
1611100511,אירוח וכיבוד ,11100,"41,648","55,800","55,242"
1611100512,"אש""ל ונסיעות ",11100,  -   ,  -   ,  -   
1611100514,החזר שי בתפקיד ,11100,"24,865","36,720","36,352"
1611100522,ספרות מקצועית ועיתונות ,11100,"34,147","48,000","32,670"
1611100523,דמי חבר בפורום סגנים ,11100,"2,500","5,000","5,445"
1611100531,דלק ,11100,"170,349","174,300","140,827"
1611100540,הוצאות תקשורת ,11100,"56,688","61,200","35,343"
1611100550,פרסום והדפסות ,11100,"4,924","5,000","4,950"
1611100561,צילום מסמכים ,11100,"11,878","17,000","16,830"
1611100580,הוצאות אירגוניות ,11100,"13,700","14,000","13,860"
1611100735,השכרת רכב ,11100,"264,718","276,385","253,328"
1611100759,"אבטחת רה""ע ",11100,"317,092",100,  -   
1611100769,שירות לאומי ,11100,"43,671","38,400","38,016"
1611200110,שכר קובע ,11200,"59,731","68,005","62,875"
1611200120,תוספות שאינן בשכר קובע ,11200,365,416,357
1611200130,שעות נוספות ,11200,275,  -   ,  -   
1611200140,החזר הוצאות ,11200,"8,352","9,522","9,419"
1611200181,הפרשות סוציאליות ,11200,"10,816","12,272","17,495"
1611200182,מיסים ועלויות ,11200,"5,219","5,926","5,503"
1611200440,ביטוח תאונות אישיות ,11200,"22,469","23,100","23,067"
1611200511,אירוח וכיבוד ,11200,"52,622","87,123","69,300"
1611200512,"אש""ל ונסיעות ",11200,  -   ,  -   ,  -   
1611200522,ספרות מקצועית ,11200,"1,697","6,500","6,930"
1611200540,הוצאות תקשורת ,11200,"2,182","7,000","1,881"
1611200561,צילום מסמכים ,11200,"18,763","26,000","17,820"
1611200580,הוצאות אירגוניות ,11200,"5,997","9,000","8,910"
1611200710,הובלות והסעות ,11200,  -   ,"5,000","4,950"
1611200731,דלק ,11200,"10,411","11,989","17,298"
1611200735,השכרת רכב ,11200,"32,062","43,200","38,016"
