1111000100,ארנונה כללית,"77,900,000.00","81,313,823.17"
1111200100,ארנונה פיגורים,"11,000,000.00","10,467,596.39"
1111200199,העלאת ארנונה,"1,568,520.00",
1113000100,הנחות ארנונה מראש,"767,000.00","646,818.92"
1116000100,הנחות ארנונה,"18,508,000.00","20,647,781.89"
1121000220,"אישורים- טאבו, אגרת מידע","33,000.00","49,386.78"
1122000220,הכנסות משלטים,"1,200,000.00","822,197.13"
1124000220,אגרות אכיפה- החזרים מתושבים,"900,000.00","738,064.07"
1124000221,"שכ""ט - החזרים מתושבים","37,000.00","27,345.14"
1124100220,מודעות על לוחות,"19,000.00","22,040.00"
1160000660,הכנסות מימון מספקים,"100,000.00","230,859.53"
1192000910,מענקים חד פעמיים מ.הפנים,"400,000.00","334,702.00"
1195000910,"מענקים - מפע""מ מצ'ינג","81,400.00","60,767.00"
1196000910,השת.הממשלה בבחירות,,
1200000800,"הכנסות מקרן השבחה כנגד פרע""מ",,
1212300220,הכנסות מכלי אשפה,"1,055,000.00","1,082,484.52"
1213000220,רשיונות עסק,"34,000.00","47,105.00"
1214200290,וטרינרי בשר ודגים הכנסות,"238,000.00","230,812.00"
1214201290,וטרינרי עופות הכנסות,"155,000.00","127,539.00"
1214202290,וטרינרי חיסונים הכנסות,"381,000.00","361,336.21"
1214203290,וטרינרי השתת' עיריות,"833,482.00","1,125,206.00"
1214204290,וטרינרי קנסות הכנסות,"50,000.00","60,174.00"
1214205290,וטרינרי תעודות הכנסות,"6,800.00","1,198.00"
1214205690,שרות וטרינרי שונות,,
1222100910,משמר אזרחי השת.הממשלה,"10,000.00","12,398.00"
1225000220,שמירה - חוק עזר,"1,100,000.00","1,019,773.26"
1226200910,"מל""ח הכנסות ממשלה",,429.92
1233100490,אגרות בניה,"2,128,419.00","2,332,590.00"
1242000800,דרכים ומדרכות בעלים,"800,357.00","1,202,892.00"
1242000900,סימון כבישים -השתת' ממשלה,,
1244000990,בטיחות בדרכים השתת' ממשלה,"100,000.00","99,450.00"
1245000800,אגרות תיעול קרקע,"631,518.00","631,518.00"
1247000290,בריכת שחיה יגור,"585,000.00","579,182.00"
1247001290,מזנון בריכת יגור,"150,000.00","204,443.45"
1247300290,בריכת אפק מנויים וכרטיסים,"3,600,000.00","3,390,882.71"
1247300650,בריכת אפק-דמי שימוש,"290,000.00","290,000.00"
1247301290,מזנון בריכת אפק,"520,000.00","517,237.70"
1248000730,ש.ק.בטוח לאומי,"1,300,000.00","1,725,937.34"
1248000800,חברה קדישא- העברה מקרן,,"878,059.00"
1248001290,חברה קדישא - אגרת ש.קבורה,"55,000.00","50,776.10"
1248003290,בית עלמין אחוזות קבר,,
1251000290,יום עצמאות,"6,000.00","24,500.00"
1269000662,הכנסות ריבית ודיבידנד,,"98,343.34"
1269001662,תשלום עבור הוצא שיקים,,13.8
1269001690,החזר בטוחים,,"150,720.00"
1269002690,הכנסות מכרזים,,"69,900.00"
1269004690,הכנסות שונות,,"490,032.75"
1269005690,אגרות בית משפט- החזרים מתושבים 1,"100,000.00","98,104.39"
1281000290,שוק עירוני - הכנסות,"75,000.00","43,480.00"
1281000291,פיקוח-קנסות כלבים,"4,000.00","7,732.50"
1282000640,פיקוח-קנסות חניה,"2,100,000.00","1,799,793.94"
