1574511,משכורת ושכר משולבים,16101-111-9
269853,תוספות,16101-112-6
65488,החזר הוצאות,16101-113-3
253236,הפרשות סוציאליות,16101-116-4
127984,מסים והיטלים על השכר,16101-117-1
129642,החזקת רכב,16101-118-8
51323,שעות נוספות,16101-119-5
47000,קניית שירותי כ״א-תמלול ועדות,16101-213-4
177606,כלי רכב בליסינג תפעולי,16101-424-6
26000,כיבודים,16101-610-7
300000,פרסום מודעות,16101-630-3
132000,הוצאות ארגוניות ושונות,16101-682-2
130000,מיון והערכה של עובדים,16101-782-3
66700,בטיחות וגיהות,16101-798-8
20000,סריקת מסמכים,16101-808-2
3417746,משכורת ושכר משולבים,16111-111-6
72086,תוספות,16111-112-3
257401,החזר הוצאות,16111-113-0
1092215,הפרשות סוציאליות,16111-116-1
348809,מסים והיטלים על השכר,16111-117-8
392042,החזקת רכב,16111-118-5
177606,כלי רכב בליסינג תפעולי,16111-424-3
2670500,משכורת ושכר משולבים,16112-111-5
1736621,תוספות,16112-112-2
434072,החזר הוצאות,16112-113-9
1326572,הפרשות סוציאליות,16112-116-0
484263,מסים והיטלים על השכר,16112-117-7
862022,החזקת רכב,16112-118-4
195179,שעות נוספות,16112-119-1
118404,כלי רכב בליסינג תפעולי,16112-424-2
2624982,משכורת ושכר משולבים,16113-111-4
476931,תוספות,16113-112-1
189665,החזר הוצאות,16113-113-8
979031,הפרשות סוציאליות,16113-116-9
304290,מסים והיטלים על השכר,16113-117-6
394706,החזקת רכב,16113-118-3
80167,שעות נוספות,16113-119-0
18960,קניית שירותי כ״א,16113-212-2
118404,כלי רכב בליסינג תפעולי,16113-424-1
140000,הוצאות ארגוניות שונות,16113-682-7
637200,יועצים,16113-791-4
70000,קרן ראש העיר,16113-945-9
2226359,משכורת ושכר משולבים,16121-111-3
1056349,תוספות,16121-112-0
150617,החזר הוצאות,16121-113-7
839588,הפרשות סוציאליות,16121-116-8
330073,מסים והיטלים על השכר,16121-117-5
288292,החזקת רכב,16121-118-2
222744,שעות נוספות,16121-119-9
300212,קריית העירייה - העמסה,16121-400-6
355212,כלי רכב בליסינג תפעולי,16121-424-0
41067,תקשורת סלולרית,16121-448-4
27000,מכשירי כתיבה וציוד משרדי,16121-460-4
75000,הדפסות,16121-462-8
9000,ספרות מקצועית,16121-480-0
785,רכש ואספקה - העמסה,16121-490-3
26109,טלפונים - העמסה,16121-541-6
539,דואר,16121-545-4
7800,כיבודים,16121-610-1
54000,הוצאות שונות,16121-682-6
279129,מחשוב עירוני - העמסה,16121-755-9
770000,סיוע מגורמים חוץ־עירוניים,16121-791-3
207106,משכורת ושכר משולבים,16122-111-2
227146,תוספות,16122-112-9
30172,החזר הוצאות,16122-113-6
102411,הפרשות סוציאליות,16122-116-7
43972,מסים והיטלים על השכר,16122-117-4
26551,החזקת רכב,16122-118-1
34386,שעות נוספות,16122-119-8
59202,כלי רכב בליסינג תפעולי,16122-424-9
,דוח שנתי,16122-931-6
1023725,משכורת ושכר משולבים,16125-111-9
413378,תוספות,16125-112-6
88545,החזר הוצאות,16125-113-3
416777,הפרשות סוציאליות,16125-116-4
147835,מסים והיטלים על השכר,16125-117-1
152615,החזקת רכב,16125-118-8
149736,שעות נוספות,16125-119-5
118404,כלי רכב בליסינג תפעולי,16125-424-6
48000,קרן מנכ״ל,16125-945-4
864177,משכורת ושכר משולבים,16126-111-8
321616,תוספות,16126-112-5
77778,החזר הוצאות,16126-113-2
310216,הפרשות סוציאליות,16126-116-3
118493,מסים והיטלים על השכר,16126-117-0
219333,החזקת רכב,16126-118-7
47907,שעות נוספות,16126-119-4
39000,קניית שירותי כ״א,16126-200-9
13492,תקשורת סלולרית,16126-448-9
392,רכש ואספקה - העמסה,16126-490-8
5152,כיבודים,16126-610-6
30648,הוצאות ארגוניות ושונות,16126-682-1
97088,מחשוב עירוני - העמסה,16126-755-4
917000,פעילות מחקר והערכה,16126-780-8
10000,מלגות מהקר,16126-781-5
205000,שנתון ירושלים,16126-783-9
,יועצים,16126-790-1
30000,תכנון תוצאתי,16126-951-8
1603042,משכורת ושכר משולבים,16130-111-1
1439946,תוספות,16130-112-8
273138,החזר הוצאות,16130-113-5
815644,הפרשות סוציאליות,16130-116-6
350460,מסים והיטלים על השכר,16130-117-3
533258,החזקת רכב,16130-118-0
386147,שעות נוספות,16130-119-7
195000,קניית שירותי כ״א,16130-221-5
3088377,קריית העירייה - העמסה,16130-400-4
54000,"תיקונים, שיפוצים ושונות",16130-420-0
177606,כלי רכב בליסינג תפעולי,16130-424-8
917906,ביטוח - העמסה,16130-440-6
135640,תקשורת סלולרית,16130-448-2
224000,מכשירי כתיבה והדפסות,16130-460-2
365000,תמלול ועדות,16130-470-5
10000,עיתונות וספרות,16130-480-8
87106,רכש ואספקה - העמסה,16130-490-1
6168,נסיעות,16130-510-8
432400,דמי ייצוג נבחרים,16130-511-5
25000,כרטיסי רשת אלחוטיים,16130-512-2
1461161,טלפונים - העמסה,16130-541-4
202303,דואר,16130-545-2
84348,כיבודים,16130-610-9
74600,ועדות מועצה,16130-620-2
90000,פרסום הקצבות לתמיכות ושונות,16130-630-5
6000,פרסום חוק חופש המידע,16130-631-2
287966,מוסך ותחבורה - העמסה,16130-710-0
17211,דלק,16130-735-1
1645334,מחשוב עירוני - העמסה,16130-755-7
51000,טיפול באוכלוסייה הערבית,16130-780-1
330000,"פעולות שונות, השתלמויות ונסיעות",16130-786-3
25000,צילומים,16130-787-0
70000,היחידה ליחסי חוץ,16130-788-7
200000,ועדות ערר,16130-791-1
787220,משכורת ושכר משולבים,16131-111-0
877777,תוספות,16131-112-7
157555,החזר הוצאות,16131-113-4
448603,הפרשות סוציאליות,16131-116-5
166630,מסים והיטלים על השכר,16131-117-2
134897,החזקת רכב,16131-118-9
149857,שעות נוספות,16131-119-6
1450000,קניית שירותי כ״א - שופטים,16131-211-1
400000,קניית שירותי כ״א,16131-212-8
150000,אבטחה ושמירה,16131-417-5
118404,כלי רכב בליסינג תפעולי,16131-424-7
6121,תקשורת סלולרית,16131-448-1
1962,רכש ואספקה - העמסה,16131-490-0
700000,דואר,16131-545-1
22855,כיבודים,16131-610-8
50000,סריקת אישורי מסירה,16131-750-1
308668,מחשוב עירוני - העמסה,16131-755-6
303000,הוצאות בית משפט,16131-782-4
550000,החזר הוצאות משפט ודמי עיקול,16131-783-1
500000,קנסות ועדה מחוזית,16131-784-8
130000,מסירת הזמנות בית המשפט,16131-785-5
450000,גביית חובות בית המשפט,16131-786-2
1095052,משכורת ושכר משולבים,16132-111-9
1012438,תוספות,16132-112-6
201003,החזר הוצאות,16132-113-3
628555,הפרשות סוציאליות,16132-116-4
242900,מסים והיטלים על השכר,16132-117-1
266913,החזקת רכב,16132-118-8
334579,שעות נוספות,16132-119-5
382580,קניית שירות איכות השירות,16132-200-0
1044822,העסקת עובדים עם מוגבלויות,16132-215-8
59202,כלי רכב בליסינג תפעולי,16132-424-6
17957,תקשורת סלולרית,16132-448-0
300000,תפעול אפליקציה עירונית,16132-450-7
60000,תהליכי הוקרה לעובדים,16132-451-4
3139,רכש ואספקה - העמסה,16132-490-9
18000,כיבודים,16132-610-7
180000,פרסום והסברה,16132-630-3
50639,הוצאות ארגוניות ושונות,16132-682-2
30000,פרס תושבים מעורבים,16132-781-6
385000,תגבור פעולות איכות השירות,16132-782-3
500000,ערב הוקרה לעובדים,16132-783-0
,הפעלת המרכז לאיכות השירות,16132-790-2
293000,תרבות ארגונית ממוקדת תושב,16132-791-9
262000,תפעול כרטיס תושב,16132-794-0
590000,הטבות עירוניות לכרטיס תושב,16132-796-4
56160,הפעלת מרכז מבקרים,16132-797-1
50000,דורות ירושלים,16132-798-8
160000,יועצים,16132-799-5
25000,שי למתנדבים,16132-800-6
20000,סיורים בקריית העירייה,16132-957-1
,תגבור פעולות,16132-959-5
599143,משכורת ושכר משולבים,16139-111-2
421625,תוספות,16139-112-9
89584,החזר הוצאות,16139-113-6
296921,הפרשות סוציאליות,16139-116-7
113364,מסים והיטלים על השכר,16139-117-4
229733,החזקת רכב,16139-118-1
94592,שעות נוספות,16139-119-8
11878,תקשורת סלולרית,16139-448-3
6485,כיבודים,16139-610-0
44500,סיורי עיתונאים בירושלים,16139-611-7
122535,הוצאות ארגוניות ושונות,16139-682-5
319500,יהסי ציבור לפרויקטים,16139-781-9
220000,שירותי תמליל,16139-782-6
31200,צילום ועריכה,16139-784-0
790000,מערך ניו מדיה,16139-785-7
64000,עורך תוכן לאתר האינטרנט,16139-786-4
619064,משכורת ושכר משולבים,16140-111-8
242115,תוספות,16140-112-5
58369,החזר הוצאות,16140-113-2
257012,הפרשות סוציאליות,16140-116-3
86403,מסים והיטלים על השכר,16140-117-0
102681,החזקת רכב,16140-118-7
56835,שעות נוספות,16140-119-4
59202,כלי רכב בליסינג תפעולי,16140-424-5
4324,תקשורת סלולרית,16140-448-9
785,רכש ואספקה - העמסה,16140-490-8
6004,כיבודים,16140-610-6
400000,פרסום והסברה-אירועים,16140-630-2
2300000,תגכור פעילות הסכרה ופרסום,16140-631-9
30000,הוצאות ארגוניות ושונות,16140-682-1
206312,מהשם עירוני - העמסה,16140-755-4
1415000,הסכרה ויחסי ציכור,16140-780-8
55000,עריכת לשון תמלילים,16140-782-2
1334000,קמפיין קיץ,16140-790-1
550000,קמפיין הסכרה ירושלים,16140-793-2
,תגכור פעולות,16140-959-4
375456,משכורת ושכר משולבים,16141-111-7
265657,תוספות,16141-112-4
60775,החזר הוצאות,16141-113-1
207516,הפרשות סוציאליות,16141-116-2
70111,מסים והיטלים על השכר,16141-117-9
110286,החזקת רכב,16141-118-6
49639,שעות נוספות,16141-119-3
,קניית שירותי כ״א,16141-211-8
