תקציב 2014,,,
,,,
מס' כרטיס,שם כרטיס,תקציב,ביצוע
1111100100,ארנונה כללית למגו,"289,593,193.00","291,463,056.73"
1111100102,הכנסות מהוצאות גבייה,"800,000.00","792,828.74"
1111100108,הנחות ארנונה,"34,600,000.00",
1121000220,תעודות ואישורים,"400,000.00","44,294.30"
1122000220,הכנסות מאגרת שילו,"5,212,000.00","5,362,298.32"
1212300610,הכנסות מפינוי בקבוקים,"70,000.00","84,275.00"
1212300611,תמיר הכנסות מחזור אריזות,,"150,000.00"
1212300690,הכנ ממכירת פחי אש,"5,000.00","3,124.20"
1214200220,פיקוח וטרינרי-אגר,"385,000.00","350,761.00"
1214200990,ממשלה לפקוח וטרינ,"457,000.00","310,654.00"
1221000910,"משא""ז משרד הפנים",,"11,514.00"
1221000911,אבטחת מאויימים,,
1222000220,אגרות שמירה,"4,084,000.00","4,793,973.05"
1222000990,שמירה ממשטרת ישרא,"4,200,000.00","3,191,471.69"
1223000440,"הג""א-מרשויות מקומ",,"-125,811.00"
1231000220,א. ההנדסה - הכנסו,"90,000.00","133,774.20"
1233100220,אגרת רשיונות בניה,"6,400,000.00","7,497,185.20"
1243000690,הכנסות מתשלום חשב,"55,000.00",
1244000980,ממש לבטיחות בדרכי,"330,000.00","278,750.00"
1262000650,דמי הדבקת מודעות,"2,000.00","2,720.00"
1281000690,ברירת קנס חנייה,"10,000,000.00","12,203,816.29"
1282000440,הכנסות מרשויות לב,"800,000.00","831,594.00"
1282000690,בית משפט - קנסות,"50,000.00","72,833.23"
1282000691,רישוי עסקים לאחר,"200,000.00","110,023.00"
1282000692,קנסות חנייה לאחר,,872
1282000693,קנס פיקוח כללי לא,"400,000.00","563,322.11"
1282000694,כפל אגרה,"50,000.00","116,391.70"
1291000220,היתרים רישוי עסקי,"120,000.00","187,884.90"
1312000690,השתתפות הורים לפנ,"1,400,000.00","1,395,904.82"
1312200220,אגרת חינוך גן חוב,,"9,846.80"
1312204920,עוזרות גננות,"5,600,000.00","5,965,832.75"
1312207920,"השת' משה""ח גננות","7,600,000.00","7,662,675.83"
1312300410,שכל ג.ילדים טרום,,"50,920.00"
1312305920,"שכ""ל גני ילדים","17,500,000.00","18,341,740.26"
1312601920,"העשרה גנ""י","75,000.00",
1312602920,ה.נלוות ח.מיוחד ג,,"93,536.70"
1313200220,אג' חינוך מבתי ספ,"300,000.00","265,101.10"
1313200430,אג.תלמידי חוץ -שכ,"1,300,000.00","617,775.10"
1313200431,"שכ""ל מתלמידי חוץ","500,000.00","437,496.75"
1313206920,שרתים,"1,500,000.00","991,530.76"
1313207920,מזכירים,"560,000.00","113,352.61"
1313209920,שרתים ומזכירים בטכנודע,"220,000.00","193,817.91"
1313210920,"אגרת שיכפול +מתי""","500,000.00","444,386.80"
1313211920,סל תלמיד לעולה יס,"80,000.00","76,088.00"
1313212920,"שרתים מתי""א","130,000.00","44,622.91"
1313214920,"מזכירי מתי""א",,"89,673.92"
1313302920,"הוצ' נלוות ח,מיוח","450,000.00","805,830.01"
1313303920,"סייעות בי""ס חריגו","900,000.00","1,037,508.39"
1313305920,חוק שילוב סייעות,"3,300,000.00","3,625,547.75"
1313306920,שרותי היקף ח.מיוח,"120,000.00","185,025.12"
1313307920,סייעות כיתתיות,"2,900,000.00","3,095,093.02"
1313500410,החזרים ממוסדות מוכרים בגין הוצאות העירייה,"2,700,000.00","1,481,193.52"
1313500920,מזכירות ושרתים מוסדות מוכרים שאינם רשמיים,,"1,491,439.93"
1313700920,השת ממש לחווה חקל,"200,000.00","222,634.53"
1314000920,מממשלה לחטיבות הב,"170,000.00","174,657.80"
1314700410,מהורים לחוגי העשר,,"1,520.00"
1315200920,ממש תיכון תחכמוני,"1,500,000.00","1,038,375.69"
1315200921,ממשלה למניעת נשירה,"45,000.00","53,840.00"
1316500920,הכנסות מתמיחות מי,"10,000.00",
1317100920,"ממשלה לקבט""ים","290,000.00","294,056.81"
1317103920,שומרים,"300,000.00","199,203.50"
1317200920,ממשלה לפסגה,"135,000.00","55,480.69"
1317300920,שרות פסיכולוגי חי,"2,700,000.00","2,675,675.11"
1317600920,ממשלה לרווחה חינו,"762,000.00","605,722.00"
1317600921,תוכנית תהל,"812,150.00","945,829.00"
1317600990,תוכנית שמידט,"492,525.00","316,687.00"
1317703920,"קבסי""ם","700,000.00","735,675.79"
