1111100100,גביה שוטפת-מגורים ,"210,934,000.00"
1111200100,גבית פיגורים-מגורים ,"14,000,000.00"
1111300100,גביה שוטפת -לא למגורים ,"365,000,000.00"
1111400100,גבית פיגורים-לא למגורים ,"65,000,000.00"
1113000100,הנחות מימון)ארנונה מראש ו,"4,191,000.00"
1113001100,הכנסות מעמלות מתשלום בכ.א,"22,000.00"
1115000100,הנחות לזכאים ,"61,149,000.00"
1116000100,הנחות ועדה בגין מצב חומרי,"16,995,000.00"
1117000100,הנחות ועדה אחרות ,"62,000.00"
1120000290,אכיפה /טיפול משפטי ,"3,090,000.00"
1121000290,תעודות ואישורים ,"206,000.00"
1122000290,אגרת רשיונות לשלטים ,"5,459,000.00"
1129001290,אגרת שמירה ,"12,000,000.00"
1130001800,היטלי מים ,"7,335,000.00"
1130003800,הטלי כבישים ,"23,204,000.00"
1160000661,הכנסות מימון ,"7,210,000.00"
1160001661,"הכנסות מימון- חפ""א ","2,359,000.00"
1190000910,בחירות לרשות-הכנ' מ. הפני,"800,000.00"
1212200690,ניקיון עורף הנמל ,"150,000.00"
1212300620,מכירת ציוד יסודי - אשפה ,"32,000.00"
1212300650,מכרז-פינוי מכלי מחזור טקס,"559,000.00"
1212300651,חוק האריזות ,"206,000.00"
1212300652,"תאגיד אל""ה ",0
1212300690,קיזוז מקבלנים - וונדליזם ,"100,000.00"
1213300290,פיקוח על עסקים ומוסדות ,"412,000.00"
1214200290,פיקוח וטרינרי ,"412,000.00"
1214200690,השתתפות שכר ווטרינר-בדיקו,"193,000.00"
1214200910,בדיקות בשר עופות ודגים ,"430,000.00"
1214200960,סירוס חתולים - מ.החקלאות ,"200,000.00"
1222000910,החזר משא'ז ,"30,000.00"
1232000220,אגרות תיכנון עיר ,"258,000.00"
1233100290,אגרת רשיונות בניה ,"13,390,000.00"
1233300290,תיקון מבנים מסוכנים ,"258,000.00"
1241000290,שילוט-תמלוגים ,"2,060,000.00"
1241000640,"הכנסות משצפי""ם ","1,545,000.00"
1242000410,דמי שימוש במדרכה ,"1,751,000.00"
1244500991,מטה בטיחות עירוני ,0
1246200690,גינון עורף הנמל ,"62,000.00"
1249000490,קנסות מפיקוח - איכות הסבי,0
1249000990,מ.איכות סביבה - כנסים ,"350,000.00"
1262000420,מידע לציבור ,"12,000.00"
1264000610,תרבות הדיור ,"44,000.00"
1269000510,זיכויים - חב' לאוטומציה ,"206,000.00"
1269000610,מכירת טפסי מיכרזים ,"515,000.00"
1269000690,הכנ' שכר כוננים במשכן ,0
1269003490,מועצת נשים ,"31,000.00"
1274700990,הכנסות מ.איכות הסביבה ,"48,000.00"
1281000290,פיקוח על חו'ע ,"184,000.00"
1281000291,קנסות בימ'ש ,"3,605,000.00"
1281001290,פיקוח על החניה ,"5,000,000.00"
1281001291,מדחני צג ,"1,500,000.00"
1281001292,מדחני כרטיס ,"20,000.00"
1281001293,הכנסות בגין קיזוז מקבלן-ח,"1,100,000.00"
1281001295,איזי פארק ,"300,000.00"
1281001296,הכנסה בגין אכיפה מנהלית ,"7,000,000.00"
