מס. חשבון ,שם חשבון ,תקציב 
1111100100,גביה שוטפת-מגורים ,"169,000,000.00"
1111200100,גבית פיגורים-מגורים ,"19,000,000.00"
1111300100,גביה שוטפת -לא למגורים ,"240,000,000.00"
1111400100,גבית פיגורים-לא למגורים ,"56,197,766.00"
1113000100,הנחות מימון)ארנונה מראש ו,"2,150,000.00"
1115000100,הנחות לזכאים ,"46,000,000.00"
1116000100,הנחות ועדה בגין מצב חומרי,"9,500,000.00"
1117000100,הנחות ועדה אחרות ,"160,000.00"
1118000100,הנחות מיבצע אכיפת גביה ,0
1120000290,אכיפה /טיפול משפטי ,"1,300,000.00"
1121000290,תעודות ואישורים ,"220,000.00"
1122000290,אגרת רשיונות לשלטים ,"3,700,000.00"
1124100290,מודעות על לוחות ,"12,000.00"
1129001290,אגרת שמירה ,"9,100,000.00"
1130001800,היטלי מים ,"3,900,000.00"
1130002800,היטלי ביוב ,"3,920,000.00"
1130003800,הטלי כבישים ,"9,400,000.00"
1160000661,הכנסות מימון ,"6,000,000.00"
1190000980,בחירות לרשות-הכנ' משרד הפ,0
1212300620,מכירת ציוד יסודי - אשפה ,0
1212300990,איכות הסביבה -מיחזור ,"162,000.00"
1213300290,פיקוח על עסקים ומוסדות ,"350,000.00"
1214200290,פיקוח וטרינרי ,"350,000.00"
1214200910,השתת' שכר וטרינר ,"300,000.00"
1222000910,החזר משא'ז ,"60,000.00"
1232000220,אגרות תיכנון עיר ,"145,000.00"
1233100290,אגרת רשיונות בניה ,"8,000,000.00"
1233300290,תיקון מבנים מסוכנים ,"170,000.00"
1241000290,שילוט-תמלוגים ,"2,500,000.00"
1241000640,מינהל נכסים ציבוריים ,"250,000.00"
1242000410,דמי שימוש במדרכה ,"700,000.00"
1244500490,הכנסות-עילויות בטיחות ,0
1244500991,מטה בטיחות עירוני ,"118,000.00"
1246200440,הכנסות בגין השתתפות בפ.וג,0
1247000990,איכות הסביבה-ניקיון חופים,0
1247200990,הכנסות מ.איכות הסביבה לני,0
1261000290,הכנ' תפעול מוקד טלפוני לת,"300,000.00"
1262000420,מידע לציבור ,"30,000.00"
1264000610,תרבות הדיור ,"13,000.00"
1269000610,מכירת טפסי מיכרזים ,"100,000.00"
1269000690,הכנסות מפסקי דין ,0
1269003490,מועצת נשים ,"35,000.00"
1281000290,פיקוח על חו'ע ,"70,000.00"
1281000291,קנסות בימ'ש ,"1,120,000.00"
1281001290,פיקוח על החניה ,"2,500,000.00"
1281001291,הכנסות ממדחני צג ,"200,000.00"
1281001292,הכנסות ממדחני כרטיס ,"200,000.00"
1281001293,הכנסות בגין קיזוז מקבלן-ח,"814,000.00"
1281001294,הכנסות ממכירת כרטיסי חניה,"100,000.00"
1281001295,הכנסות מאיזי פארק ,0
1311000650,שכירות ,"50,000.00"
1312100420,סל תרבות ,"3,170,000.00"
