1111100100,גביה שוטפת-מגורים ,"191,078,000.00"
1111200100,גבית פיגורים-מגורים ,"18,000,000.00"
1111300100,גביה שוטפת -לא למגורים ,"290,765,000.00"
1111400100,גבית פיגורים-לא למגורים ,"43,643,000.00"
1113000100,הנחות מימון)ארנונה מראש ו,"2,500,000.00"
1113001100,הכנסות מעמלות מתשלום בכ.א,0
1115000100,הנחות לזכאים ,"50,000,000.00"
1116000100,הנחות ועדה בגין מצב חומרי,"12,000,000.00"
1117000100,הנחות ועדה אחרות ,"120,000.00"
1118000100,הנחות מיבצע אכיפת גביה ,0
1120000290,אכיפה /טיפול משפטי ,"3,000,000.00"
1121000290,תעודות ואישורים ,"200,000.00"
1122000290,אגרת רשיונות לשלטים ,"6,000,000.00"
1124100290,מודעות על לוחות ,"10,000.00"
1129001290,אגרת שמירה ,"10,500,000.00"
1130001800,היטלי מים ,"3,754,000.00"
1130002800,היטלי ביוב ,"3,823,000.00"
1130003800,הטלי כבישים ,"12,003,000.00"
1160000661,הכנסות מימון ,"9,000,000.00"
1160001661,"הכנסות מימון- חפ""א ","770,000.00"
1212300620,מכירת ציוד יסודי - אשפה ,"120,000.00"
1212300990,איכות הסביבה -מיחזור ,0
1213300290,פיקוח על עסקים ומוסדות ,"450,000.00"
1214200290,פיקוח וטרינרי ,"350,000.00"
1214200910,השתת' שכר וטרינר ,"600,000.00"
1214200911,עיקור וסירוס חתולי רחוב ,"50,000.00"
1222000910,החזר משא'ז ,"50,000.00"
1232000220,אגרות תיכנון עיר ,"200,000.00"
1233100290,אגרת רשיונות בניה ,"10,000,000.00"
1233300290,תיקון מבנים מסוכנים ,"300,000.00"
1241000290,שילוט-תמלוגים ,"2,200,000.00"
1241000640,מינהל נכסים ציבוריים ,"750,000.00"
1242000410,דמי שימוש במדרכה ,"1,200,000.00"
1244500991,מטה בטיחות עירוני ,"600,000.00"
1247200990,הכנסות מ.איכות הסביבה לני,0
1261000290,שיפוץ מבנים-חלק הדיירים ,"150,000.00"
