מס. חשבון ,שם חשבון ,תקציב 
1111100100,גביה שוטפת-מגורים ,"218,000,000.00"
1111200100,גבית פיגורים-מגורים ,"11,000,000.00"
1111300100,גביה שוטפת -לא למגורים ,"383,494,000.00"
1111400100,גבית פיגורים-לא למגורים ,"36,000,000.00"
1113000100,הנחות מימון)ארנונה מראש ו,"3,000,000.00"
1113001100,הכנסות מעמלות מתשלום בכ.א,"20,000.00"
1115000100,הנחות לזכאים ,"66,000,000.00"
1116000100,הנחות ועדה בגין מצב חומרי,"17,000,000.00"
1117000100,הנחות ועדה אחרות ,"50,000.00"
1120000290,אכיפה /טיפול משפטי ,"3,000,000.00"
1121000290,תעודות ואישורים ,"228,700.00"
1122000290,אגרת רשיונות לשלטים ,"5,500,000.00"
1129001290,אגרת שמירה ,"11,500,000.00"
1130000800,הטלים ,"36,000,000.00"
1130001800,היטלי מים ,0
1130003800,הטלי כבישים ,0
1160000661,הכנסות מימון ,"7,000,000.00"
1160001661,"הכנסות מימון- חפ""א ","2,359,000.00"
1190000910,בחירות לרשות-הכנ' מ. הפני,0
1212200690,ניקיון עורף הנמל ,"200,000.00"
1212300620,מכירת ציוד יסודי - אשפה ,"70,000.00"
1212300650,מכרז-פינוי מכלי מחזור טקס,"119,000.00"
1212300651,חוק האריזות ,"1,000,000.00"
1212300652,"תאגיד אל""ה ",0
1212300690,קיזוז מקבלנים - וונדליזם ,"100,000.00"
1213300290,פיקוח על עסקים ומוסדות ,"400,000.00"
1214200290,פיקוח וטרינרי ,"500,000.00"
1214200690,השתתפות שכר ווטרינר-בדיקו,"220,000.00"
1214200910,בדיקות בשר עופות ודגים ,"565,000.00"
1214200960,סירוס חתולים - מ.החקלאות ,"200,000.00"
1222000910,החזר משא'ז ,"30,000.00"
1232000220,אגרות תיכנון עיר ,0
1233100290,אגרת רשיונות בניה ,"10,500,000.00"
1233300290,תיקון מבנים מסוכנים ,"300,000.00"
1241000290,שילוט-תמלוגים ,"3,325,000.00"
1241000640,"הכנסות משצפי""ם ","2,000,000.00"
1242000410,דמי שימוש במדרכה ,"1,800,000.00"
1246200690,גינון עורף הנמל ,"29,000.00"
1249000490,קנסות מפיקוח - איכות הסבי,0
1249000990,מ.איכות סביבה - כנסים ,0
1261000290,שרותי מוקד לתאגיד יובלים ,"300,000.00"
1262000420,מידע לציבור ,"10,000.00"
1264000610,תרבות הדיור ,"44,000.00"
1269000510,זיכויים - חב' לאוטומציה ,"212,000.00"
1269000610,מכירת טפסי מיכרזים ,"420,000.00"
1269000690,הכנ' שכר כוננים במשכן ,"51,000.00"
1269003490,מועצת נשים ,"31,000.00"
1274700990,מ.איכות הסביבה-נקיון חופי,"50,000.00"
1274700991,הכנסות א.הסביבה טיפול בזי,"72,000.00"
1281000290,פיקוח על חו'ע ,"300,000.00"
1281000291,קנסות בימ'ש ,"4,500,000.00"
1281001290,פיקוח על החניה ,"6,800,000.00"
1281001291,מדחני צג ,"1,600,000.00"
1281001292,מדחני כרטיס ,"1,500,000.00"
1281001293,הכנסות בגין קיזוז מקבלן-ח,"1,200,000.00"
1281001295,איזי פארק ,"39,000.00"
1281001296,הכנסה בגין אכיפה מנהלית ,"6,500,000.00"
1281001297,"באמצעות טלפון סלולרי ""פאנ","230,000.00"
1281001298," באמצעות טלפון סלולרי""סלו","41,000.00"
1311000920,תקשוב לאומי ,"1,700,000.00"
1312100420,סל תרבות ,"5,400,000.00"
1312100421,פעילות גנים מדעיים ,"200,000.00"
1312100924,"תכנית שמיד גנ""י ","342,000.00"
1312200920,גיל חובה-שיפוצים ,"85,000.00"
1312200921,גיל חובה/חומרים ,"124,000.00"
1312200922,גיל חובה/שכר סייעות ,"12,500,000.00"
1312300420,ט.חובה/תשלומי הורים ,0
1312300920,גנ'י/ילדי סטיה והשלמ'מ ,"32,000,000.00"
1312500420,צהרונים /יול'ה ,"17,665,000.00"
1312500421,גני מועד'וצהר'/דמי רישום ,"400,000.00"
1312501420,פנימיות יום-גנ'י ,"80,000.00"
1312501920,פנמיות יום -גנ'י ,"54,000.00"
1313200920,שרתים/מזכירים/סייעות ,"31,000,000.00"
1313200924,תכנית שמיד חינוך יסודי ,"612,000.00"
1313201420,פנימיות יום-הורים ,"360,000.00"
1313202420,קרב-תשלומי ההורים ,"3,100,000.00"
1313204920,ניהול עצמי ,"3,200,000.00"
1313205920,שיפוצים ,"425,000.00"
1313206920,שיכפולים/חומרים ,"400,000.00"
1313206921,חומרי מלאכה-מ.חינוך ,"520,000.00"
1313206922,אגרת עולים חדשים ,"185,000.00"
1313209920,הכנסות מסבסוד טיולים ,0
1313500420,השתתפויות במימון מזגנים ו,"70,000.00"
1313500920,שרתים מזכירים סייעות/חרדי,"7,400,000.00"
1313500921,ישיבות קטנות/שיפוצים/מ.ח.,"550,000.00"
1313500924,תכנית שמיד-חרדי ,"972,000.00"
1313505920,רווחה חינוכית ,"250,000.00"
1313508920,הסעים הכנסות משרד ,0
1313600920,מועדוניות בית ספריות ,"680,000.00"
1313700920,חוו חקלאיות/שרתים מזכירים,"150,000.00"
1315201420,בתי'ס עי'ס/פ.יום הורים ,"80,000.00"
1315202920,שיכפולים ,"368,000.00"
1315202921,חומרי מלאכה מ.חינוך ,"670,000.00"
1315202922,אגרת עולים חדשים ,"200,000.00"
1315203920,בתי'ס עי'ס/שיפוצים מ.ח ,"400,000.00"
1315204920,מנ'ע תגבורים ,"600,000.00"
1315204924,"תכנית שמיד-חינוך עי""ס ","337,500.00"
1315206920,פרוייקט מניפה ,"240,000.00"
1315207650,שכירות קיוסקים ומכונות שת,"80,000.00"
1315208920,הכנסות מסבסוד טיולים ,0
1315501921,חט'ב/מקיף א' ,"920,000.00"
1315503921,עי'ס/חט'ב/מקיף ג' ,"1,400,000.00"
1315504921,עי'ס/חט'ב/מקיף ד' ,"1,350,000.00"
1315505921,ע'ס/חט'ב/מקיף ה' ,"1,700,000.00"
1315506921,בתי'ס עי'ס/מקיף ו' ,"1,720,000.00"
1315507921,עי'ס/חט'ב/מקיף ז' ,"1,700,000.00"
1315508921,עי'ס/חט'ב/מקיף ח' ,"1,700,000.00"
1315509921,בתי'ס עי'ס/חט'ב ט' ,"1,630,000.00"
1315511921,בתי'ס עי'ס/אולפנא ,"850,000.00"
1315515921,"ישיבה תיכונית אמי""ת ","210,000.00"
1315516921,"מקיף יא חט""ב ","332,000.00"
1315700926,עוז לתמורה ,0
1315701920,בתי'ס עי'ס/מקיף א' ,"12,400,000.00"
1315702670,הכנסות מזיכויים מקיף ב' ,"5,225,000.00"
1315702920,בת'ס עי'ס/מקיף ב' ,0
1315703920,בתי'ס עי'ס/מקיף ג' ,"15,200,000.00"
1315704920,בתי'ס עי'ס/מקיף ד' ,"17,000,000.00"
1315705920,בתי'ס עי'ס/מקיף ה' ,"17,500,000.00"
1315706920,בתי'ס עי'ס/מקיף ו' ,"13,650,000.00"
1315707920,בתי'ס עי'ס/מקיף ז' ,"14,700,000.00"
1315708920,בתי'ס עי'ס/מקיף ח' ,"14,200,000.00"
1315709920,מקיף ט' ,"11,900,000.00"
1315710670,הכנסות מזיכויים מקיף י' ,"6,200,000.00"
1315710920,מקיף יוד חט'ע ,0
1315711920,בתי'ס עי'ס/אולפנא ,"7,900,000.00"
1315712920,בתי'ס עי'ס/ימי/שרת'+מז ,"200,000.00"
1315713920,בתי'ס עי'ס/אשכולות פיס ,"430,000.00"
1315714430,בתי'ס עי'ס/נ.הרצוג ,"1,200,000.00"
1315715670,"זכויים לישיבה-רשת אמי""ת ","300,000.00"
1316200420,פעילות לחיילים ,"30,000.00"
1316200970,הכנסות משרד הבטחון ,"120,000.00"
1316600650,חשמל-סמי שמעון ,"570,000.00"
1316802922,מלגות הכנסה מ. השיכון ,"500,000.00"
1317100920,קבטי'ם-שכר ,"525,000.00"
1317100992,שמירה-השתת' משטרת ישראל ,"7,000,000.00"
1317200420,מרפ'ד הכנסות עצמיות ,"20,000.00"
1317300920,פסיכולוג חנוכי/שכר ,"5,000,000.00"
1317300921,פסיכולוג חנוכי/השתלמויות ,"65,200.00"
1317300924,תכנית שמיד שפי ,"234,000.00"
1317500420,ביטוח תלמידים ,"1,560,000.00"
1317600920,רווחה חינוכית ,"1,600,000.00"
1317600921,תוכנית שיקום שכונות ,"665,000.00"
1317700920,קב'סים__שכר ,"1,120,000.00"
1317701650,דמי שימוש שטחי פירסום ,"368,000.00"
1317701920,קבס'ים -קידום נוער ,"385,000.00"
1317701921,חונכות לתלמידים ,"100,000.00"
1317701924,תכנית שמיד-קידום נוער ,"792,000.00"
1317800920,הסעות ילדים -מ.ת.מ ,"7,000,000.00"
1317800921,לווי הסעות ,"4,000,000.00"
1317800922,הכנסה מכרטיסיות ,"500,000.00"
