1111000100,ארנונה מגורים שוטף ," 109,263,000 "," 103,988,000 "," 104,095,001 ",,,,,,
1111000101,ארנונה מגורים פגורים ," 6,000,000 "," 5,840,000 "," 6,384,632 ",,,,,,
1111000102,ארנונה עסקים שוטף ," 64,770,000 "," 67,714,500 "," 64,456,000 ",,,,,,   
1111000103,ארנונה עסקים פגורים ," 6,000,000 "," 6,600,000 "," 6,941,000 ",,   ,,,,
1111000290,ערר מדידות , 500 ," 1,000 "," 1,250 ",, ,,,,
1111000291,הנחות למשלמי מיסים מראש ," 500,000 "," 500,000 ", -   ,,,,,,
1116000100,שחרורים והנחות ," 29,000,000 "," 28,000,000 "," 29,124,685 ",,,,,,   
1121000220,תעודות ואישורים ," 100,000 "," 80,000 "," 91,006 ",,,,,,
1122000220,אגרות רשיונות לשלטים ," 4,800,000 "," 4,500,000 "," 4,390,115 ",,,,,,
1122000221,טיפול עורכי דין ," 200,000 "," 100,000 "," 177,559 ",,,,,,
1124000220,מודעות ופרסומים ," 20,000 "," 30,000 "," 25,754 ",,,,,,
1190000911,ממשלה הסכם שכר ," 1,050,000 "," 250,000 "," 289,889 ",,,,,,
1212300490,הכנסות מפינוי ניר עתון , -   ," 265,000 "," 264,480 ",,,,,,
1212300491,הכנסות מתאגיד תמיר ," 950,000 "," 450,000 "," 538,554 ",,,,,,
1213000220,רשיונות למלאכה ותעשיה ," 150,000 "," 300,000 "," 140,348 ",,,,,,
1222000970,השתתפות הממשלה ארוגני מתנ, -   , -   ," 7,725 ",,,,,,
1224000210,אגרת שרותי כבוי אש ," 15,000 "," 50,000 "," 96,150 ",,,,,,
1224000211,ארנונה מיוחדת לכבאות ," 30,000 "," 100,000 "," 100,806 ",,,,,,
1222100911,הכנסות משמר אזרחי," 10,000 ", -   , -   ,,,,,,
1230000490,הכנסות בעד שרותים ," 100,000 "," 70,000 "," 74,968 ",,,,,,
1230000491,תכנון ובנין עיר ," 12,944,000 "," 5,936,000 "," 9,711,103 ",,,,,,
1230000492,הלוואת פיתוח," 1,372,000 ", -   , -   ,,,,,,
1230000492,הכנסות חופש מידע ," 1,000 "," 2,000 "," 1,166 ",,,,,,
1233100220,אגרת רשיונות בניה ," 7,000,000 "," 11,101,000 "," 3,296,800 ",,,,,,
1230000290,הכנסות איכות הסביבה," 5,000 ", -   , -   ,,,,,,
1244000490,פעילות זהירות בדרכים , -   ," 30,000 "," 35,150 ",,,,,,
1244000810,סימון מעטפה/תמרור ," 8,000 "," 10,000 "," 10,000 ",,,,,,
1245000490,הכנסות תיעול וניקוז," 145,000 ", -   , -   ,,,,,,
1252000491,ארועים , -   ," 100,000 "," 64,665 ",,,,,,
1269000490,מכירת מכרזים ," 80,000 "," 40,000 "," 23,650 ",,,,,,
1269000492,הכנ מכ צלום גביה , -   ," 1,000 ", -   ,,,,,,
1269000493,רכב פזומט החזר ," 200,000 "," 200,000 "," 165,270 ",,,,,,
1269000494,הכנסות מועצת נשים," 10,000 ", -   , -   ,,,,,,
1281000490,קנסות חניה , -   ," 450,000 "," 1,314,019 ",,,,,,
1281000491,כרטיסי חניה ," 10,500,000 "," 6,500,000 "," 6,537,481 ",,,,,,
